Congressional District,Cook PVI,Incumbent House Party
Alabama-01,16,Republican
Alabama-02,17,Republican
Alabama-03,18,Republican
Alabama-04,34,Republican
Alabama-05,17,Republican
Alabama-06,22,Republican
Alabama-07,-19,Democratic
Alaska-00,9,Republican
Arizona-01,2,Democratic
Arizona-02,-2,Democratic
Arizona-03,-13,Democratic
Arizona-04,22,Republican
Arizona-05,11,Republican
Arizona-06,5,Republican
Arizona-07,-24,Democratic
Arizona-08,11,Republican
Arizona-09,-9,Democratic
Arkansas-01,21,Republican
Arkansas-02,7,Republican
Arkansas-03,17,Republican
Arkansas-04,20,Republican
California-01,11,Republican
California-02,-23,Democratic
California-03,-5,Democratic
California-04,8,Republican
California-05,-22,Democratic
California-06,-21,Democratic
California-07,-5,Democratic
California-08,8,Republican
California-09,-8,Democratic
California-10,0,Democratic
California-11,-24,Democratic
California-12,-38,Democratic
California-13,-40,Democratic
California-14,-28,Democratic
California-15,-22,Democratic
California-16,-9,Democratic
California-17,-24,Democratic
California-18,-27,Democratic
California-19,-23,Democratic
California-20,-23,Democratic
California-21,-5,Republican
California-22,6,Republican
California-23,12,Republican
California-24,-10,Democratic
California-25,-3,Republican
California-26,-10,Democratic
California-27,-18,Democratic
California-28,-23,Democratic
California-29,-27,Democratic
California-30,-20,Democratic
California-31,-9,Democratic
California-32,-17,Democratic
California-33,-19,Democratic
California-34,-34,Democratic
California-35,-17,Democratic
California-36,-4,Democratic
California-37,-36,Democratic
California-38,-17,Democratic
California-39,-3,Republican
California-40,-31,Democratic
California-41,-12,Democratic
California-42,7,Republican
California-43,-29,Democratic
California-44,-32,Democratic
California-45,-3,Democratic
California-46,-16,Democratic
California-47,-14,Democratic
California-48,1,Republican
California-49,-4,Democratic
California-50,8,Republican
California-51,-20,Democratic
California-52,-12,Democratic
California-53,-17,Democratic
Colorado-01,-24,Democratic
Colorado-02,-12,Democratic
Colorado-03,6,Republican
Colorado-04,12,Republican
Colorado-05,12,Republican
Colorado-06,-6,Democratic
Colorado-07,-7,Democratic
Connecticut-01,-11,Democratic
Connecticut-02,-2,Democratic
Connecticut-03,-8,Democratic
Connecticut-04,-12,Democratic
Connecticut-05,-2,Democratic
Delaware-00,-6,Democratic
Florida-01,20,Republican
Florida-02,20,Republican
Florida-03,9,Republican
Florida-04,14,Republican
Florida-05,-12,Democratic
Florida-06,10,Republican
Florida-07,-3,Democratic
Florida-08,12,Republican
Florida-09,-3,Democratic
Florida-10,-12,Democratic
Florida-11,18,Republican
Florida-12,11,Republican
Florida-13,0,Democratic
Florida-14,-7,Democratic
Florida-15,6,Republican
Florida-16,7,Republican
Florida-17,16,Republican
Florida-18,6,Republican
Florida-19,12,Republican
Florida-20,-28,Democratic
Florida-21,-8,Democratic
Florida-22,-6,Democratic
Florida-23,-9,Democratic
Florida-24,-28,Democratic
Florida-25,8,Republican
Florida-26,-1,Republican
Florida-27,-4,Republican
Georgia-01,9,Republican
Georgia-02,-4,Democratic
Georgia-03,16,Republican
Georgia-04,-27,Democratic
Georgia-05,-36,Democratic
Georgia-06,-1,Democratic
Georgia-07,2,Democratic
Georgia-08,15,Republican
Georgia-09,30,Republican
Georgia-10,13,Republican
Georgia-11,12,Republican
Georgia-12,9,Republican
Georgia-13,-23,Democratic
Georgia-14,28,Republican
Hawaii-01,-14,Democratic
Hawaii-02,-15,Democratic
Idaho-01,22,Republican
Idaho-02,15,Republican
Illinois-01,-25,Democratic
Illinois-02,-28,Democratic
Illinois-03,-6,Democratic
Illinois-04,-33,Democratic
Illinois-05,-22,Democratic
Illinois-06,-3,Democratic
Illinois-07,-37,Democratic
Illinois-08,-9,Democratic
Illinois-09,-21,Democratic
Illinois-10,-14,Democratic
Illinois-11,-11,Democratic
Illinois-12,9,Republican
Illinois-13,4,Republican
Illinois-14,2,Democratic
Illinois-15,26,Republican
Illinois-16,10,Republican
Illinois-17,2,Democratic
Illinois-18,15,Republican
Indiana-01,-4,Democratic
Indiana-02,13,Republican
Indiana-03,19,Republican
Indiana-04,18,Republican
Indiana-05,5,Republican
Indiana-06,22,Republican
Indiana-07,-11,Democratic
Indiana-08,19,Republican
Indiana-09,15,Republican
Iowa-01,4,Republican
Iowa-02,4,Republican
Iowa-03,3,Democratic
Iowa-04,16,Republican
Kansas-01,24,Republican
Kansas-02,10,Republican
Kansas-03,-1,Democratic
Kansas-04,15,Republican
Kentucky-01,26,Republican
Kentucky-02,22,Republican
Kentucky-03,-8,Democratic
Kentucky-04,19,Republican
Kentucky-05,33,Republican
Kentucky-06,8,Republican
Louisiana-01,22,Republican
Louisiana-02,-25,Democratic
Louisiana-03,21,Republican
Louisiana-04,14,Republican
Louisiana-05,17,Republican
Louisiana-06,18,Republican
Maine-01,-8,Democratic
Maine-02,6,Democratic
Maryland-01,14,Republican
Maryland-02,-13,Democratic
Maryland-03,-16,Democratic
Maryland-04,-29,Democratic
Maryland-05,-16,Democratic
Maryland-06,-8,Democratic
Maryland-07,-27,Democratic
Maryland-08,-17,Democratic
Massachusetts-01,-10,Democratic
Massachusetts-02,-10,Democratic
Massachusetts-03,-12,Democratic
Massachusetts-04,-13,Democratic
Massachusetts-05,-23,Democratic
Massachusetts-06,-10,Democratic
Massachusetts-07,-35,Democratic
Massachusetts-08,-14,Democratic
Massachusetts-09,-6,Democratic
Michigan-01,12,Republican
Michigan-02,9,Republican
Michigan-03,5,Republican
Michigan-04,14,Republican
Michigan-05,-1,Democratic
Michigan-06,5,Republican
Michigan-07,10,Republican
Michigan-08,4,Democratic
Michigan-09,-4,Democratic
Michigan-10,18,Republican
Michigan-11,2,Democratic
Michigan-12,-13,Democratic
Michigan-13,-29,Democratic
Michigan-14,-29,Democratic
Minnesota-01,8,Republican
Minnesota-02,0,Democratic
Minnesota-03,-6,Democratic
Minnesota-04,-16,Democratic
Minnesota-05,-29,Democratic
Minnesota-06,14,Republican
Minnesota-07,17,Republican
Minnesota-08,10,Republican
Mississippi-01,18,Republican
Mississippi-02,-13,Democratic
Mississippi-03,13,Republican
Mississippi-04,22,Republican
Missouri-01,-29,Democratic
Missouri-02,4,Republican
Missouri-03,21,Republican
Missouri-04,20,Republican
Missouri-05,-7,Democratic
Missouri-06,18,Republican
Missouri-07,24,Republican
Missouri-08,30,Republican
Montana-00,11,Republican
Nebraska-01,11,Republican
Nebraska-02,1,Republican
Nebraska-03,30,Republican
Nevada-01,-12,Democratic
Nevada-02,8,Republican
Nevada-03,2,Democratic
Nevada-04,-1,Democratic
New Hampshire-01,1,Democratic
New Hampshire-02,-1,Democratic
New Jersey-01,-11,Democratic
New Jersey-02,4,Republican
New Jersey-03,3,Democratic
New Jersey-04,8,Republican
New Jersey-05,1,Democratic
New Jersey-06,-6,Democratic
New Jersey-07,-1,Democratic
New Jersey-08,-24,Democratic
New Jersey-09,-13,Democratic
New Jersey-10,-34,Democratic
New Jersey-11,0,Democratic
New Jersey-12,-16,Democratic
New Mexico-01,-9,Democratic
New Mexico-02,8,Republican
New Mexico-03,-7,Democratic
New York-01,6,Republican
New York-02,5,Republican
New York-03,-3,Democratic
New York-04,-4,Democratic
New York-05,-34,Democratic
New York-06,-13,Democratic
New York-07,-34,Democratic
New York-08,-33,Democratic
New York-09,-32,Democratic
New York-10,-27,Democratic
New York-11,7,Republican
New York-12,-34,Democratic
New York-13,-40,Democratic
New York-14,-25,Democratic
New York-15,-39,Democratic
New York-16,-25,Democratic
New York-17,-9,Democratic
New York-18,1,Democratic
New York-19,3,Democratic
New York-20,-7,Democratic
New York-21,8,Republican
New York-22,9,Republican
New York-23,9,Republican
New York-24,-2,Republican
New York-25,-8,Democratic
New York-26,-10,Democratic
New York-27,12,Republican
North Carolina-01,-3,Democratic
North Carolina-02,-12,Democratic
North Carolina-03,14,Republican
North Carolina-04,-16,Democratic
North Carolina-05,20,Republican
North Carolina-06,-10,Democratic
North Carolina-07,11,Republican
North Carolina-08,6,Republican
North Carolina-09,6,Republican
North Carolina-10,21,Republican
North Carolina-11,9,Republican
North Carolina-12,-19,Democratic
North Carolina-13,20,Republican
North Dakota-00,20,Republican
Ohio-01,4,Republican
Ohio-02,9,Republican
Ohio-03,-19,Democratic
Ohio-04,20,Republican
Ohio-05,15,Republican
Ohio-06,24,Republican
Ohio-07,18,Republican
Ohio-08,19,Republican
Ohio-09,-9,Democratic
Ohio-10,5,Republican
Ohio-11,-30,Democratic
Ohio-12,6,Republican
Ohio-13,-1,Democratic
Ohio-14,5,Republican
Ohio-15,9,Republican
Ohio-16,10,Republican
Oklahoma-01,15,Republican
Oklahoma-02,29,Republican
Oklahoma-03,29,Republican
Oklahoma-04,20,Republican
Oklahoma-05,7,Republican
Oregon-01,-12,Democratic
Oregon-02,11,Republican
Oregon-03,-24,Democratic
Oregon-04,1,Democratic
Oregon-05,-2,Democratic
Pennsylvania-01,0,Republican
Pennsylvania-02,-21,Democratic
Pennsylvania-03,-41,Democratic
Pennsylvania-04,-9,Democratic
Pennsylvania-05,-13,Democratic
Pennsylvania-06,-5,Democratic
Pennsylvania-07,0,Democratic
Pennsylvania-08,5,Democratic
Pennsylvania-09,18,Republican
Pennsylvania-10,5,Republican
Pennsylvania-11,14,Republican
Pennsylvania-12,20,Republican
Pennsylvania-13,25,Republican
Pennsylvania-14,16,Republican
Pennsylvania-15,24,Republican
Pennsylvania-16,12,Republican
Pennsylvania-17,2,Democratic
Pennsylvania-18,-13,Democratic
Rhode Island-01,-12,Democratic
Rhode Island-02,-4,Democratic
South Carolina-01,7,Republican
South Carolina-02,9,Republican
South Carolina-03,21,Republican
South Carolina-04,14,Republican
South Carolina-05,11,Republican
South Carolina-06,-17,Democratic
South Carolina-07,11,Republican
South Dakota-00,16,Republican
Tennessee-01,30,Republican
Tennessee-02,18,Republican
Tennessee-03,19,Republican
Tennessee-04,22,Republican
Tennessee-05,-9,Democratic
Tennessee-06,26,Republican
Tennessee-07,21,Republican
Tennessee-08,19,Republican
Tennessee-09,-28,Democratic
Texas-01,25,Republican
Texas-02,4,Republican
Texas-03,6,Republican
Texas-04,28,Republican
Texas-05,15,Republican
Texas-06,6,Republican
Texas-07,-1,Democratic
Texas-08,25,Republican
Texas-09,-27,Democratic
Texas-10,5,Republican
Texas-11,32,Republican
Texas-12,15,Republican
Texas-13,33,Republican
Texas-14,12,Republican
Texas-15,-3,Democratic
Texas-16,-18,Democratic
Texas-17,9,Republican
Texas-18,-26,Democratic
Texas-19,26,Republican
Texas-20,-13,Democratic
Texas-21,5,Republican
Texas-22,4,Republican
Texas-23,1,Republican
Texas-24,2,Republican
Texas-25,8,Republican
Texas-26,12,Republican
Texas-27,14,Republican
Texas-28,-5,Democratic
Texas-29,-19,Democratic
Texas-30,-29,Democratic
Texas-31,6,Republican
Texas-32,-1,Democratic
Texas-33,-23,Democratic
Texas-34,-5,Democratic
Texas-35,-17,Democratic
Texas-36,25,Republican
Utah-01,20,Republican
Utah-02,10,Republican
Utah-03,17,Republican
Utah-04,6,Republican
Vermont-00,-15,Democratic
Virginia-01,6,Republican
Virginia-02,1,Democratic
Virginia-03,-16,Democratic
Virginia-04,-10,Democratic
Virginia-05,7,Republican
Virginia-06,14,Republican
Virginia-07,3,Democratic
Virginia-08,-27,Democratic
Virginia-09,23,Republican
Virginia-10,-6,Democratic
Virginia-11,-19,Democratic
Washington-01,-8,Democratic
Washington-02,-11,Democratic
Washington-03,5,Republican
Washington-04,13,Republican
Washington-05,8,Republican
Washington-06,-6,Democratic
Washington-07,-36,Democratic
Washington-08,-1,Democratic
Washington-09,-23,Democratic
Washington-10,-5,Democratic
West Virginia-01,22,Republican
West Virginia-02,20,Republican
West Virginia-03,27,Republican
Wisconsin-01,7,Republican
Wisconsin-02,-18,Democratic
Wisconsin-03,4,Democratic
Wisconsin-04,-25,Democratic
Wisconsin-05,11,Republican
Wisconsin-06,10,Republican
Wisconsin-07,12,Republican
Wisconsin-08,10,Republican
Wyoming-00,26,Republican
