State,25 to 34 years,Median age (years),65 years and over,Hispanic or Latino (of any race),White alone,Black or African American alone,Asian alone,Average household size,Females 15 years and over - Never married,College or graduate school (enrolled),Percent bachelor's degree or higher,Civilian veterans,Foreign born,American,English,German,Median household income (dollars),Per capita income (dollars),Poverty All people,"Management, business, science, arts occupations","Natural resources, construction, maintenance occupations","Professional, scientific, and management, administrative services",Manufacturing,"1-unit, detached",20 or more units,Renter occupied,No vehicles available,Median home value (dollars)
National,0.2446607393,-0.1121883808,-0.1770448892,0.5956512132,-0.4567929663,0.1212125256,0.2289454582,0.4042433463,0.1989505487,0.0159406397,0.05621686902,-0.412083045,0.6676638988,-0.07208665349,-0.3473347226,-0.2147166243,0.0919542511,0.1548395642,0.09202099361,0.03655574828,-0.2013132747,0.3184117885,0.07330921581,-0.1408686085,0.2131734717,0.3093741433,0.1419564047,0.03868317166
Alabama,-0.3207774138,0.228471228,0.2991448128,-0.7692656367,-0.1529797379,1.492269009,-0.5486857715,-0.01497197579,-0.05544523487,-0.3316681485,-0.9821056298,0.6022752196,-0.9786816703,2.932230641,-0.503936505,-0.967063546,-1.268622322,-1.125322803,1.305631199,-0.6437659671,0.0800923781,-0.4166953427,1.126646896,0.4763071181,-0.6562399031,-0.4656971534,-0.3651855601,-1.071327376
Alaska,0.9514584307,-1.645156621,-2.505083433,-0.4865328606,-0.4567929663,-0.7737826787,0.4326107802,1.542113506,-0.05544523487,-0.9466683122,-0.4549572842,2.504196966,-0.2684933856,-0.9265255169,-0.1907329401,0.01425852583,1.253037267,0.5038832986,-0.7054942843,-0.1235199494,1.093152728,-1.011782068,-1.556856241,-0.0498098947,-0.4890450234,0.3849908552,0.4049189049,0.6227204427
Arizona,-0.3207774138,-0.2825181852,0.6166046142,1.892322221,-0.8226088944,-0.6595279717,-0.1969002152,0.643794959,0.07175265689,-0.2247115983,-0.3591121305,0.6656726111,0.5869606846,-0.816275341,-0.1124320489,-0.2692345172,-0.2945925977,-0.4590827232,0.6121396531,-0.3836429583,-0.2013132747,0.6334577019,-0.7543132469,0.1626604374,-0.1546552638,0.1581407195,-0.3839685958,0.1063095048
Arkansas,-0.1794178755,-0.1121883808,0.2991448128,-0.4475352364,0.26863862,0.3973280674,-0.4931406836,-0.3144114916,-1.073028369,-0.9734074498,-1.317563668,0.6022752196,-0.7849939563,1.168227826,-0.3473347226,-0.607245453,-1.557202676,-1.415960618,1.132258313,-0.8038416648,0.4177791614,-1.046787169,0.87585221,0.6887774502,-0.8903127348,0.04471565173,-0.2900534172,-1.315442998
California,1.092817969,-0.7935075985,-1.076514326,2.643026488,-1.920056679,-0.5262308137,1.876783064,2.380544151,0.8349400075,0.951810454,0.3118039456,-1.743428267,2.798228753,-0.9265255169,-0.869340664,-0.8798349174,1.138847845,0.6554212672,0.05734641631,0.1366030594,-0.08875101357,1.018513818,-0.1774854699,-0.5354563681,0.731477599,2.029654338,-0.158572167,2.225357146
Colorado,1.658256122,-0.6657602452,-1.129424293,0.9271310196,0.01442755127,-0.6785704229,-0.2154152445,-0.07485987895,-0.2462420725,-0.06427677296,1.52584256,0.4754804365,0.03817882824,-0.7060251651,0.3834735954,0.3849801974,0.9093262183,0.8872247902,-0.9828909027,0.7769058503,0.0800923781,1.158534224,-0.7292337783,0.0007782796047,0.4806852794,0.0636198297,-0.5154498459,1.252435517
Connecticut,-1.027575105,1.08012025,0.4578747135,0.4006630918,-0.07857649825,-0.1072968882,0.04379516541,-0.1347477821,0.5381449267,0.8715930414,1.126487752,-1.363043918,0.8452109699,-0.7335877091,-0.06023145478,-0.6726669245,1.333630193,1.812671965,-1.225612944,1.117066708,-1.045530233,0.283406687,0.1736270901,-0.3836918451,0.1964539837,-0.12542195,0.1419564047,0.6227204427
Delaware,-1.310294182,0.7394606413,1.092794316,-0.262296521,-0.3575886468,0.9971652788,-0.04877998098,0.2245796369,0.5593445753,0.6042016659,-0.02365409243,0.3486856535,0.1027413996,2.243167041,-0.03413115771,-0.4218846172,0.337720986,0.4412290946,0.1613701482,0.5367923037,-0.4827189275,-0.4166953427,-0.5035185612,-0.4747505589,-0.5726424632,-1.013918314,-0.4215346673,0.4241520596
District of Columbia,3.213211043,-1.858068876,-2.028893731,-0.09655661781,-1.951058029,3.263216966,-0.04877998098,-1.572057458,5.498862705,4.534854886,4.097687518,-1.933620442,0.8290703271,-1.119463325,-0.9476415552,-0.9234492317,1.964760275,3.229493972,1.201607467,5.058930765,-3.690743369,4.484018866,-2.133684018,-5.098509691,4.961508057,4.411580762,5.175809981,2.67685626
