State,Closest1,Closest2,Closest3
National, Illinois, Arizona, Oregon, 
Alabama, South Carolina, Kentucky, Arkansas, 
Alaska, Utah, Colorado, Washington, 
Arizona, National, Nevada, Oregon, 
Arkansas, Kentucky, Tennessee, Alabama, 
California, New Jersey, Hawaii, Nevada, 
Colorado, Washington, Virginia, Minnesota, 
Connecticut, Rhode Island, Massachusetts, Virginia, 
Delaware, Pennsylvania, North Carolina, Florida, 
District of Columbia, New York, Massachusetts, Maryland, 
Florida, Delaware, Arizona, New Mexico, 
Georgia, Louisiana, North Carolina, National, 
Hawaii, California, New Jersey, Nevada, 
Idaho, Wyoming, South Dakota, Oklahoma, 
Illinois, National, Virginia, Oregon, 
Indiana, Missouri, Ohio, Tennessee, 
Iowa, South Dakota, Wisconsin, Montana, 
Kansas, Nebraska, South Dakota, Wisconsin, 
Kentucky, Arkansas, Tennessee, Alabama, 
Louisiana, Mississippi, Alabama, Georgia, 
Maine, Vermont, Montana, New Hampshire, 
Maryland, New Jersey, Virginia, Massachusetts, 
Massachusetts, Maryland, Connecticut, New Jersey, 
Michigan, Ohio, Missouri, Pennsylvania, 
Minnesota, North Dakota, Nebraska, Wisconsin, 
Mississippi, Louisiana, Alabama, Arkansas, 
Missouri, Ohio, Michigan, Indiana, 
Montana, Iowa, South Dakota, Wyoming, 
Nebraska, Kansas, North Dakota, South Dakota, 
Nevada, Arizona, Texas, New Mexico, 
New Hampshire, Vermont, Pennsylvania, Maine, 
New Jersey, Maryland, Massachusetts, Virginia, 
New Mexico, Arizona, Nevada, Georgia, 
New York, Maryland, New Jersey, Massachusetts, 
North Carolina, Tennessee, South Carolina, Ohio, 
North Dakota, Minnesota, Nebraska, Wisconsin, 
Ohio, Michigan, Missouri, Indiana, 
Oklahoma, Arkansas, Tennessee, Indiana, 
Oregon, National, Washington, Virginia, 
Pennsylvania, Michigan, Delaware, Ohio, 
Rhode Island, Connecticut, Virginia, Pennsylvania, 
South Carolina, Tennessee, North Carolina, Alabama, 
South Dakota, Iowa, Kansas, Wyoming, 
Tennessee, South Carolina, North Carolina, Kentucky, 
Texas, Nevada, Georgia, Alaska, 
Utah, Alaska, Colorado, Washington, 
Vermont, Maine, New Hampshire, Pennsylvania, 
Virginia, Illinois, Washington, National, 
Washington, Colorado, Virginia, Oregon, 
West Virginia, Kentucky, Arkansas, Alabama, 
Wisconsin, Iowa, North Dakota, Kansas, 
Wyoming, Idaho, South Dakota, Montana, 
