State, National, Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming, 
National, 0.0, 5.405761391395619, 5.208455386428333, 2.6357084096239833, 5.025948822400113, 5.6569476585833645, 3.8230956861153365, 3.9232108000864994, 3.741975417727696, 16.4553291944029, 3.8099517618562273, 3.383459971845644, 8.640902477628027, 5.445995265349201, 1.8243520614459543, 4.413953702250101, 5.01859653773586, 3.395724608389481, 5.254569218884902, 4.979481364501958, 7.059812291916, 4.63644960656394, 5.047197914830721, 4.240178129541256, 4.016213687756038, 6.320690083616103, 3.8092163595593225, 5.78380057307674, 3.940213548194388, 3.439570363851818, 6.002678369551258, 4.4320271155675535, 5.488075404207315, 6.345739498019795, 2.890341316767459, 5.553497379766417, 3.974114228550645, 4.216542183178062, 2.626846928602507, 3.339070340471653, 3.866401400512477, 4.1203330337575945, 5.518518303439309, 3.9151897414926546, 4.268977296758087, 7.146942673712183, 6.086929621558081, 4.034074619168808, 3.2037457083723577, 6.972290350133234, 4.776645145313768, 6.021369670659476, 
Alabama, 5.405761391395619, 0.0, 7.912792969278076, 6.086866367194048, 2.425325284741715, 10.339914349811067, 8.069906469977653, 7.941022780390032, 4.3750187320534, 19.45897565093067, 6.187307184442272, 4.105503415933978, 11.960710435154969, 6.014668490447414, 6.35163014937251, 4.022485819248394, 6.018495498253798, 5.223839285807916, 2.6787016006490845, 3.4774139880917163, 6.950420689783381, 8.431571359932096, 9.296409659704702, 4.4617250736072105, 7.173348830997903, 2.521334571901838, 3.8410026011741234, 6.219450564661821, 6.277159318747388, 7.062233584439035, 8.046128878614732, 9.176722525898374, 6.963014192914528, 10.222595142814553, 2.7696121479189326, 7.891970315697291, 4.121459698875999, 3.8718504564764746, 6.018591490453867, 5.431947045139085, 7.461939249453116, 1.533321220290503, 6.348094103906364, 2.0914344647996943, 7.415018516695457, 9.632071144669915, 6.864256079897357, 6.968817519855127, 7.438271252062445, 4.389037827130762, 6.4612146672688, 6.997434289030678, 
Alaska, 5.208455386428333, 7.912792969278076, 0.0, 5.601488742243158, 7.078759993084725, 7.592682611242715, 4.458740078097083, 7.54531752857724, 6.87691158811419, 17.94523079819453, 7.492123244811847, 5.629065381196971, 8.423332745461995, 5.444294531859243, 6.155112598220788, 6.975361224013199, 6.857685818585633, 5.419432023345854, 7.683924492005628, 6.757926594553043, 8.870383865562657, 6.3689824870631, 8.128869741877715, 7.762238148533831, 5.946250107934261, 8.283899930786184, 6.17176209906735, 6.198703558216977, 5.195869374418515, 5.140679202973525, 8.065404477470956, 7.48788553731821, 7.611475567662119, 9.339985366974465, 6.125984693301802, 5.66166324569561, 7.141974938300417, 5.320382221077075, 5.2959636457941786, 6.989109102762673, 7.694999003133649, 6.913916392078335, 6.05554955461178, 6.584558360061745, 5.46814031250691, 6.5608132438874565, 8.532877748885701, 5.406898014791873, 4.339206995167658, 8.886869862172682, 7.281106292759406, 4.970502317088475, 
Arizona, 2.6357084096239833, 6.086866367194048, 5.601488742243158, 0.0, 5.2241113709009905, 6.066443545623976, 4.502281751707254, 5.3383746183076415, 4.750329681385787, 17.710167191457423, 3.289549351989425, 4.792636348260745, 8.917423876266607, 5.187466200962819, 4.040585006532508, 5.366248948998242, 5.689206026659289, 4.080110006221985, 5.934316033613034, 5.546473035942494, 7.010845099806543, 6.125903197923448, 6.55267818567608, 5.283962133611812, 5.5861467768921855, 6.83563138289013, 4.564756353984982, 5.472470886567663, 4.543237572309274, 3.0288616755349937, 6.671556409725743, 6.007179598005585, 3.3041495303862116, 7.794128851313675, 3.9665582985096632, 6.245012424610066, 5.0431883199083245, 4.023454920047541, 3.4042803071692527, 4.555497621722054, 4.8439790642200515, 4.832080790841399, 5.735162809186974, 4.832152314102532, 4.138728511713025, 7.856483583647089, 6.544329579896235, 5.126957909580559, 4.2009381003154695, 6.790514999256876, 5.791523011122526, 5.668633298472388, 
Arkansas, 5.025948822400113, 2.425325284741715, 7.078759993084725, 5.2241113709009905, 0.0, 10.045571182700394, 7.527876751161848, 7.974359279638413, 5.114451838325297, 20.205625711914607, 6.000537528678482, 4.682037652459977, 11.649260259379398, 4.4101627398275, 6.085017827960806, 2.9636828393392483, 4.698892964784992, 4.03158199459461, 1.7179820996989048, 3.4927522441750813, 6.409602215643409, 8.896278458988943, 9.46733559060719, 4.0682765948435735, 6.502153893677097, 3.2399029583819394, 2.8744330908367846, 4.864463394579952, 4.93591120054628, 6.177689743906118, 7.769281296194874, 9.205211420479493, 6.169108542392004, 10.250611283937266, 2.996815734684046, 6.693196592175155, 3.4569452280386925, 2.1064013747870023, 5.1539093111180945, 5.025738827742403, 7.347472422545027, 2.3381468535318604, 4.695400212167541, 1.8956192934898533, 6.774710152028168, 9.035615852227059, 6.581417968044389, 7.333266619955097, 6.856995276912887, 3.179931438928591, 5.4383357690363985, 5.5146349031016815, 
California, 5.6569476585833645, 10.339914349811067, 7.592682611242715, 6.066443545623976, 10.045571182700394, 0.0, 6.421746385630603, 6.6044182220869665, 8.397045338037936, 15.224232710961216, 6.985897261781619, 7.203444888486371, 6.986082851160109, 9.564822351046212, 5.612859960509243, 9.446986733790265, 9.93592016494487, 8.445541746918305, 10.37521984804939, 9.131385386411178, 11.680280161311257, 6.293327813529116, 6.339234696144406, 9.240064945728761, 8.122163013200678, 10.615967792308854, 9.326730056764099, 10.690079814377773, 8.62318097884481, 4.979600144286119, 9.836108001808014, 4.409081929117429, 7.854973443965957, 6.1347842809345, 8.172737885190156, 9.651350899484086, 9.340145159015574, 8.960063887435604, 7.095447745045693, 8.41625298826791, 6.67836262285649, 9.313581438447168, 10.31601632369968, 9.182639065752632, 5.077976083673881, 8.283549214194968, 10.632432915224284, 7.106104343884158, 6.215245567998234, 12.065788937983047, 9.44026626354572, 10.35417820333522, 
Colorado, 3.8230956861153365, 8.069906469977653, 4.458740078097083, 4.502281751707254, 7.527876751161848, 6.421746385630603, 0.0, 4.90300243959773, 6.03274144662222, 15.91461811829316, 6.2139041685628875, 5.517266084653732, 9.241418729715145, 6.034455585017761, 4.242406272050441, 6.544774221785229, 6.355618294543799, 4.567084652943675, 7.5946015579449515, 7.785014974040649, 7.92464176338139, 4.270655508962583, 5.186698637571025, 6.649583789713819, 4.312316963941152, 9.165150914714815, 5.707708972632896, 6.307596421554379, 4.617394906029953, 5.125746192738799, 5.973254187703319, 5.133339581895054, 7.295370442836117, 7.772014311961581, 5.39360961483038, 5.939288648802682, 6.182202868894373, 6.220708619356722, 3.3555299074579485, 5.534020975635695, 5.562269798236704, 6.732687344533347, 6.627319304608795, 6.367215272807915, 5.530880952695472, 6.207195469347293, 7.041319344572465, 3.199231224579005, 1.8754969420683074, 9.161345334099405, 6.12695780940019, 6.09986199608171, 
Connecticut, 3.9232108000864994, 7.941022780390032, 7.54531752857724, 5.3383746183076415, 7.974359279638413, 6.6044182220869665, 4.90300243959773, 0.0, 4.422711253942169, 15.679074821475632, 5.2707361060403155, 6.521785596532236, 9.221422648406586, 7.84210667442466, 3.6132972109003343, 6.639669989727225, 6.144836264181447, 5.4400391372043435, 7.820180169410399, 8.162299652817714, 7.079262739496385, 3.938097136524803, 2.4732614918950353, 5.355997666699458, 4.360285803909436, 9.268935405704891, 5.876129740041585, 7.2354800462868925, 5.692849397284117, 6.577159687314351, 4.4264860747521, 3.414912414841813, 8.080595433459857, 6.413683824579908, 5.640850934905955, 6.593821037828214, 5.70599133192133, 7.4679499765848805, 4.626999432510086, 3.811151418973094, 2.7639286826834994, 6.630993414805095, 7.3136596685438375, 6.624021828388771, 7.407854762259983, 8.513548353120385, 5.426524858188026, 4.663338624963837, 4.485394668213993, 9.083314070465137, 5.676566960021093, 7.734759923802756, 
Delaware, 3.741975417727696, 4.3750187320534, 6.87691158811419, 4.750329681385787, 5.114451838325297, 8.397045338037936, 6.03274144662222, 4.422711253942169, 0.0, 17.492326921255444, 4.060952455891912, 4.557089551973623, 9.772341094930933, 6.409236082042973, 4.720005874963814, 5.211596715938672, 5.59832198736006, 4.7725387125331205, 5.289842330934863, 5.379617205481625, 5.4867323980636575, 5.143008725316688, 5.9503654819005085, 4.291670905683306, 5.4944395356056335, 6.024726254415646, 3.946617525632907, 5.479016243888878, 5.530051385630286, 6.190720597042512, 5.156622135378946, 6.248944653578504, 6.692945412394566, 8.179971208845286, 3.0956882811027246, 6.681482236410282, 4.345225379860947, 5.126752052648958, 4.6530469794480736, 3.413132109915626, 4.653004240941753, 3.2173753870973756, 6.228149933417184, 3.878285716049173, 7.129716058218693, 9.089797358739327, 4.686147525037577, 4.374695917211995, 5.359453553374578, 6.141990931944315, 5.857527978203461, 6.273456092354598, 
District of Columbia, 16.4553291944029, 19.45897565093067, 17.94523079819453, 17.710167191457423, 20.205625711914607, 15.224232710961216, 15.91461811829316, 15.679074821475632, 17.492326921255444, 0.0, 17.46592394906208, 16.84561447124982, 17.813927942690952, 20.672233287824216, 15.762308925068131, 19.56866225538406, 19.884280986189612, 18.651300479032983, 19.949880231334795, 18.42964721328729, 20.719973366278136, 14.018188518751199, 13.567227097008471, 18.836339003209154, 17.420693263061803, 19.869268091025777, 18.888035767505098, 20.275877966542733, 18.647257556802096, 17.507705557527093, 18.47119953635762, 14.672471463290611, 18.922453416493404, 12.245904869969161, 17.773482169146277, 18.041508795197903, 18.47796653162242, 19.703013337098117, 17.182158854056095, 17.37543501160743, 15.498829581740402, 18.678837547599922, 20.10760394634023, 18.87970136311963, 17.544602347616067, 18.663060088470647, 18.875708044521787, 15.53526124719047, 16.367293335808007, 21.553254521544, 18.662604837764498, 20.586626964799706, 
