State,25 to 34 years,Median age (years),65 years and over,Hispanic or Latino (of any race),White alone,Black or African American alone,Asian alone,Average household size,Females 15 years and over - Never married,College or graduate school (enrolled),Percent bachelor's degree or higher,Civilian veterans,Foreign born,American,English,German,Median household income (dollars),Per capita income (dollars),Poverty All people,"Management, business, science, arts occupations","Natural resources, construction, maintenance occupations","Professional, scientific, and management, administrative services",Manufacturing,"1-unit, detached",20 or more units,Renter occupied,No vehicles available,Median home value (dollars)
National,12.6,38.1,15.6,18.1,60.6,12.3,5.5,2.65,30.6,27.4,32,7.3,13.7,6.1,7.1,13.2,60336,32397,13.4,38.2,8.9,11.5,10.1,61.7,9.2,36.1,8.6,217600
Alabama,12.2,38.9,16.5,4.1,65.5,26.7,1.3,2.58,29.4,26.1,25.5,8.9,3.5,17,6.5,6.3,48123,26498,16.9,34.8,9.4,9.4,14.3,67.8,4,32,5.9,141300
Alaska,13.1,34.5,11.2,7,60.6,2.9,6.6,2.84,29.4,23.8,28.8,11.9,7.9,3,7.7,15.3,73181,34222,11.1,37.4,11.2,7.7,3.6,62.6,5,36.5,10,273100
Arizona,12.2,37.7,17.1,31.4,54.7,4.1,3.2,2.69,30,26.5,29.4,9,13.2,3.4,8,12.7,56581,29420,14.9,36.1,8.9,12.4,6.8,64.7,7,35.3,5.8,223400
Arkansas,12.3,38.1,16.5,7.4,72.3,15.2,1.6,2.53,24.6,23.7,23.4,8.9,4.7,10.6,7.1,9.6,45869,25316,16.4,34,10,7.6,13.3,69.9,2.6,34.7,6.3,128500
California,13.2,36.5,13.9,39.1,37,5.5,14.4,2.98,33.6,30.9,33.6,5.2,26.9,3,5.1,7.1,71805,35046,13.3,38.7,9.1,13.5,9.1,57.8,12.3,45.2,7,509400
Colorado,13.6,36.8,13.8,21.5,68.2,3.9,3.1,2.57,28.5,27.1,41.2,8.7,9.8,3.8,9.9,18.7,69117,36345,10.3,41.9,9.4,13.9,6.9,63.1,10.8,34.8,5.1,348900
Connecticut,11.7,40.9,16.8,16.1,66.7,9.9,4.5,2.56,32.2,30.6,38.7,5.8,14.8,3.7,8.2,9,74168,42029,9.6,43.6,7.4,11.4,10.5,59.3,9.1,33.8,8.6,273100
Delaware,11.5,40.1,18,9.3,62.2,21.5,4,2.62,32.3,29.6,31.5,8.5,10.2,14.5,8.3,11.3,62852,33887,13.6,40.7,8.4,9.4,7.8,58.4,4.5,29.1,5.6,252800
District of Columbia,14.7,34,12.1,11,36.5,45.3,4,2.32,55.6,44.3,57.3,4.9,14.7,2.3,4.8,6.7,82372,52500,16.6,63.3,2.7,23.4,1.3,12.7,37.6,57.8,35.4,607200
Florida,12.1,42,20.1,25.6,53.8,15.4,2.8,2.67,28.5,28.8,29.7,8.6,20.9,7.9,6.5,9.1,52594,29838,14,35.2,9.4,13.1,5,54.4,13.7,34.8,6.3,214000
Georgia,13.3,36.8,13.4,9.6,52.6,31.1,3.9,2.72,31.8,25.2,30.9,7.9,10.2,10.8,6.8,6.5,56183,29668,14.9,37.2,8.8,12.1,10.5,66.6,6.4,37.1,6.4,173700
Hawaii,12.7,39.2,17.8,10.5,21.8,1.6,37.3,3.02,28.7,28.5,32.9,9.8,18.6,1.2,3.4,5.8,77765,33882,9.5,34.1,9.6,10.1,3.1,52.5,19.7,41.5,7.9,617400
Idaho,12.6,36.3,15.3,12.4,82,0.6,1.3,2.7,24.4,22.8,26.8,8.7,5.9,6.4,17.1,16.3,52225,26386,12.8,34.6,12.7,9.4,9.9,74.9,3.9,30.3,3.9,207100
Illinois,12.9,38,15.2,17.2,61.2,14,5.4,2.6,32.7,26.6,34.4,5.8,14.3,3.7,5.3,17.5,62992,34196,12.6,37.8,7.3,11.6,12,59,10.7,33.8,10.9,195300
Indiana,12.3,37.7,15.4,6.9,79.2,9.2,2.2,2.53,28,25.1,26.8,7.6,5.3,8.6,7.6,20.7,54181,28323,13.5,34.4,8.7,8.7,18.8,73,4.4,31,6.6,141100
Iowa,11.9,38.3,16.7,5.9,85.9,3.3,2.6,2.42,26.3,27.3,28.9,7.4,5.3,4.7,7.2,32.5,58570,30865,10.7,35.5,9.9,7.4,14.6,73.8,5.7,28.4,5.6,149100
Kansas,12.2,36.7,15.4,11.9,75.9,5.5,2.9,2.51,25.4,26.6,33.7,8,6.9,6,9.3,24.6,56422,30146,11.9,38.9,9.3,9.3,12.3,72.6,4.8,34.1,5.2,150600
Kentucky,12.5,38.9,15.9,3.5,84.6,8,1.4,2.51,25.5,24.8,24,7.7,3.8,15.1,9.9,13.2,48375,26779,17.2,33.5,9.1,8.6,14.7,67.2,3.2,33.5,7.3,141000
Louisiana,12.6,36.8,14.9,5.2,58.5,32.1,1.8,2.62,33.7,23.7,23.8,6.7,4.1,7.8,5,6.7,46145,25885,19.7,33.4,11.4,9.1,7.7,65.2,4.6,34.8,8.6,162500
Maine,11.3,44.6,20,1.6,93.4,1.2,1.1,2.4,25.6,28.5,32.1,9.7,3.4,7,18.6,8.2,56277,31088,11.1,36.7,10.9,9.3,8.6,70.6,3.6,26.8,6.8,191200
Maryland,12.8,38.7,14.9,10.1,50.7,29.4,6.4,2.68,33,29.7,39.7,7.9,15.3,4.9,6.8,12.5,80776,39960,9.3,45.9,7.8,15.6,4.3,51.2,9,33.3,8.9,312500
Massachusetts,12.2,39.5,16.1,11.8,71.5,7,6.6,2.54,34.4,34.1,43.4,5.5,16.9,3.7,9.1,5.7,77385,41821,10.5,46.1,6.9,13.8,8.9,52.1,10.9,37.7,12.4,385400
Michigan,11.6,39.8,16.7,5.1,75,13.6,3.1,2.48,30.5,28.1,29.1,7.1,7.1,5.3,8.6,18.8,54909,30488,14.2,36.7,7.9,9.6,18.9,72.5,5.1,28.7,7.5,155700
Minnesota,12.6,37.9,15.4,5.3,79.9,6.4,4.9,2.52,29,25.7,36.1,7.1,8.7,3.1,5.2,32.1,68388,36156,9.5,40.8,8,9.9,13.4,67.2,12.3,28.4,6.7,224000
Mississippi,12.7,37.5,15.6,2.9,56.6,37.9,0.9,2.65,32.2,24.9,21.9,7.3,2.2,11.1,6.5,4.5,43529,23121,19.8,32.5,10.6,7.5,13.2,68.6,2.4,31.5,6.3,120200
Missouri,11.9,38.5,16.5,4.2,79.4,11.4,2,2.49,27.6,25.7,29.1,8.7,4.2,8.1,8.2,22.5,53578,29438,13.4,36.9,8.7,9.5,11.5,70.5,4.7,33,6.7,156700
Montana,11.9,40,18.1,3.7,86.3,0.4,0.7,2.41,25,24.1,32.3,10.6,2.2,5.4,11.2,24.6,53386,29428,12.5,35.4,11.8,8.4,5.1,69.9,3.3,30.8,5.1,231300
Nebraska,12.3,36.5,15.4,10.9,79,4.5,2.4,2.48,27.2,26.5,31.7,8.1,7.5,3.3,7.4,33.3,59970,30915,10.8,37.7,9.8,8.9,10.4,72.6,6.9,33.7,5.5,155800
Nevada,13.3,38,15.3,28.8,48.8,8.9,8.3,2.7,29.5,23.5,24.9,8.8,19.9,3.7,6.9,10.2,58003,30166,13,28.9,8.9,10.8,4.6,60,9,43.4,7.2,258200
New Hampshire,11.3,43.2,17.6,3.8,90.3,1.3,2.7,2.46,26.9,30.2,36.9,8.6,6.2,3.9,17,9.1,73381,38237,7.7,41.7,8.7,11.2,11.7,64.2,7.1,30.2,5.1,263600
New Jersey,12.9,39.8,15.7,20.4,54.8,12.8,9.8,2.74,31.6,26.8,39.7,4.6,22.8,3.3,4.6,9.8,80088,40567,10,42.9,7,13.3,8.3,53.7,10.6,36.2,11.2,334900
New Mexico,12,37.7,16.8,48.8,37.4,1.8,1.3,2.66,32,26.5,27.1,9.3,9.4,4,5.8,7.8,46744,25311,19.7,37.4,10.3,11.6,4.1,63.8,4,32.1,5.3,171300
New York,12.5,38.7,15.9,19.2,55.1,14.3,8.7,2.64,36,30.3,36,4.5,22.9,5.3,4.7,9.4,64894,37156,14.1,40.9,7.2,12.1,6.1,41.9,24.1,46.2,29.3,314500
North Carolina,12.7,38.8,15.9,9.4,63,21.2,2.9,2.53,29.1,26.9,31.3,8.3,8.1,10.7,8.7,10,52752,29560,14.7,37.6,9.3,11,12.8,65.5,4.5,34.6,5.8,171200
North Dakota,11.8,35.4,14.9,3.5,84.4,3,1.7,2.31,27,30.3,30.7,8,4.1,3,3.9,37.6,61843,34041,10.3,37.3,11.8,6.4,7.1,56.7,14.8,36.6,5.2,194700
Ohio,11.9,39.3,16.6,3.7,78.9,12.2,2.2,2.43,29.7,26.1,28,7.9,4.5,6.9,7.7,23.7,54021,30038,14,36.7,7.4,9.8,15.1,68.5,5.7,34.2,7.9,144200
Oklahoma,12.4,36.6,15.3,10.6,65.6,7.2,2.1,2.6,25.5,23.9,25.5,9.1,5.7,7.6,6.8,12.4,50051,26472,15.8,35.1,11.2,8.6,9.1,72.6,3.8,34.5,5.5,137400
